kind,name,brand,type,width,depth,height,sill,color,stories,floorheight,parapet,material
equipment,Single-phase pad-mount transformer 50 kVA,ERMCO,pad-transformers,3.2,3,2.6,,#e4b34a,,,,
equipment,Single-phase pad-mount transformer 167 kVA,ERMCO,pad-transformers,3.6,3.3,3,,#e4b34a,,,,
equipment,Three-phase pad-mount transformer 75 kVA Cooper Power series,Eaton,pad-transformers,4.8,4.7,4.3,,#e4b34a,,,,
equipment,Three-phase pad-mount transformer 150 kVA Cooper Power serie,Eaton,pad-transformers,5.2,5,4.5,,#e4b34a,,,,
equipment,Three-phase pad-mount transformer 300 kVA,ABB,pad-transformers,5.5,5.4,4.7,,#e4b34a,,,,
equipment,Three-phase pad-mount transformer 500 kVA,ABB,pad-transformers,5.8,5.6,5,,#e4b34a,,,,
equipment,Three-phase pad-mount transformer 750 kVA,Prolec GE,pad-transformers,6.5,6,5.5,,#e4b34a,,,,
equipment,Three-phase pad-mount transformer 1000 kVA,Prolec GE,pad-transformers,7,6.3,5.8,,#e4b34a,,,,
equipment,Three-phase pad-mount transformer 1500 kVA,Howard Industries,pad-transformers,7.5,6.8,6.2,,#e4b34a,,,,
equipment,Three-phase pad-mount transformer 2000 kVA,Howard Industries,pad-transformers,8.2,7.3,6.8,,#e4b34a,,,,
equipment,Three-phase pad-mount transformer 2500 kVA Cooper Power seri,Eaton,pad-transformers,8.8,7.8,7.2,,#e4b34a,,,,
equipment,Three-phase pad-mount transformer 3000 kVA Cooper Power seri,Eaton,pad-transformers,9.3,8.3,7.5,,#e4b34a,,,,
equipment,Dry-type distribution transformer 75 kVA EX low-temp-rise,Square D,dry-type-transformers,2.3,2,3,,#e4b34a,,,,
equipment,Dry-type distribution transformer 150 kVA EX low-temp-rise,Square D,dry-type-transformers,2.8,2.5,4,,#e4b34a,,,,
equipment,Dry-type distribution transformer 300 kVA DS-3 ventilated dr,Eaton,dry-type-transformers,3.5,3.1,5,,#e4b34a,,,,
equipment,Dry-type distribution transformer 500 kVA Sentinel ventilate,Hammond Power Solutions,dry-type-transformers,4.2,3.6,5.6,,#e4b34a,,,,
equipment,Secondary unit substation 1000 kVA integrated unit substatio,Eaton,unit-substations,18,5.5,7.5,,#e4b34a,,,,
equipment,Secondary unit substation 1500 kVA unit substation (HVL + dr,Square D,unit-substations,22,6,7.5,,#e4b34a,,,,
equipment,Double-ended unit substation 2x2000 kVA,Eaton,unit-substations,45,6,7.5,,#e4b34a,,,,
equipment,LV switchboard distribution section QED-2,Square D,switchgear-switchboards,3,3,7.5,,#e4b34a,,,,
equipment,LV switchboard main section 4000A QED-2 w/ PowerPact/Masterp,Square D,switchgear-switchboards,3.8,4,7.5,,#e4b34a,,,,
equipment,LV switchboard distribution section Pow-R-Line C,Eaton,switchgear-switchboards,3,3,7.5,,#e4b34a,,,,
equipment,LV switchboard main section 3000A Pow-R-Line C w/ Magnum mai,Eaton,switchgear-switchboards,3.5,4,7.5,,#e4b34a,,,,
equipment,LV switchboard section SB3 switchboard,Siemens,switchgear-switchboards,3,3,7.5,,#e4b34a,,,,
equipment,LV switchboard section ReliaGear LV switchboard,ABB,switchgear-switchboards,3,3,7.5,,#e4b34a,,,,
equipment,LV drawout switchgear section Power-Zone 4,Square D,switchgear-switchboards,3,5,7.6,,#e4b34a,,,,
equipment,LV drawout switchgear section Magnum DS,Eaton,switchgear-switchboards,2.8,5,7.5,,#e4b34a,,,,
equipment,LV drawout switchgear section type WL switchgear,Siemens,switchgear-switchboards,3,5.5,7.5,,#e4b34a,,,,
equipment,LV drawout switchgear section AKD-20 (GE legacy),ABB,switchgear-switchboards,3,5.3,7.5,,#e4b34a,,,,
equipment,Lighting/appliance panelboard 42-circuit NQ,Square D,panelboards,1.7,0.5,4.2,,#e4b34a,,,,
equipment,Lighting/appliance panelboard 480Y/277V NF,Square D,panelboards,1.7,0.5,4.2,,#e4b34a,,,,
equipment,Power distribution panelboard 800-1200A I-Line HCP,Square D,panelboards,2.7,0.8,6.3,,#e4b34a,,,,
equipment,Lighting panelboard Pow-R-Line 1a,Eaton,panelboards,1.7,0.5,4,,#e4b34a,,,,
equipment,Panelboard P1,Siemens,panelboards,1.7,0.5,4.2,,#e4b34a,,,,
equipment,Pad-mounted MV switchgear PME-9,S&C,mv-gear,5.3,5.6,5.5,,#e4b34a,,,,
equipment,Pad-mounted MV switchgear PMH-9,S&C,mv-gear,7.5,5.4,5.6,,#e4b34a,,,,
equipment,Underground distribution switchgear (pad) Vista UDS,S&C,mv-gear,5.5,4.7,4.4,,#e4b34a,,,,
equipment,Solid-dielectric pad-mount switch Trident-SR,G&W Electric,mv-gear,5,4.2,4.6,,#e4b34a,,,,
equipment,MV metal-clad switchgear section 15kV VacClad-W,Eaton,mv-gear,3,8,7.9,,#e4b34a,,,,
equipment,MV metal-clad switchgear section 15kV SafeGear,ABB,mv-gear,3,8.3,7.9,,#e4b34a,,,,
equipment,MV metal-clad switchgear section 15kV GM-SG,Siemens,mv-gear,3,7.8,7.9,,#e4b34a,,,,
equipment,MV metal-enclosed load interrupter switch HVL/cc,Square D,mv-gear,3,4.5,7.5,,#e4b34a,,,,
equipment,Diesel genset 250 kW open skid C9 (D250),Caterpillar,generators,11.5,4.3,6.3,,#e4b34a,,,,
equipment,Diesel genset 300 kW sound-attenuated enclosure C9 w/ weathe,Caterpillar,generators,16,5.6,8,,#e4b34a,,,,
equipment,Diesel genset 500 kW open skid C15,Caterpillar,generators,13.8,5.4,7.3,,#e4b34a,,,,
equipment,Diesel genset 500 kW enclosed w/ sub-base tank C15 w/ SA enc,Caterpillar,generators,20,7,10,,#e4b34a,,,,
equipment,Diesel genset 1000 kW open skid C32,Caterpillar,generators,17.6,6.6,8.1,,#e4b34a,,,,
equipment,Diesel genset 1000 kW enclosed w/ belly tank C32 w/ SA enclo,Caterpillar,generators,30,8.5,11.5,,#e4b34a,,,,
equipment,Diesel genset 1500 kW open skid 3512B,Caterpillar,generators,21,7.3,9.5,,#e4b34a,,,,
equipment,Diesel genset 2000 kW open skid 3516B,Caterpillar,generators,23.5,8.2,10,,#e4b34a,,,,
equipment,Diesel genset 2500 kW in 40-ft ISO container 3516C container,Caterpillar,generators,40,8,9.5,,#e4b34a,,,,
equipment,Diesel genset 2000 kW open skid QSK60 series,Cummins,generators,22,8,10,,#e4b34a,,,,
equipment,Diesel genset 3000 kW open skid QSK95 series,Cummins,generators,27.5,9,12,,#e4b34a,,,,
equipment,Diesel genset 1000 kW enclosed KD1000,Kohler,generators,26,8,10,,#e4b34a,,,,
equipment,Diesel genset 2500 kW open skid KD2500,Kohler,generators,24.5,8.5,10.5,,#e4b34a,,,,
equipment,Diesel genset 1000 kW open skid 16V2000 DS1000,MTU (Rolls-Royce),generators,17,6.8,8,,#e4b34a,,,,
equipment,Diesel genset 3000 kW open skid 20V4000 DS3000,MTU (Rolls-Royce),generators,28,9,11,,#e4b34a,,,,
equipment,Natural gas genset 400 kW SG400,Generac,generators,12.5,5.5,7.5,,#e4b34a,,,,
equipment,Diesel genset 500 kW enclosed SD500,Generac,generators,18,6.5,9,,#e4b34a,,,,
equipment,"Containerized genset 1 MW class, 20-ft ISO 20-ft power modul",generic,generators,20,8,9.5,,#e4b34a,,,,
equipment,Sub-base (belly) fuel tank 1000 gal UL 142 sub-base tank,generic,generators,18,5.5,2,,#e4b34a,,,,
equipment,Sub-base (belly) fuel tank 4000 gal UL 142 sub-base tank,generic,generators,30,8.5,3.5,,#e4b34a,,,,
equipment,Above-ground protected tank 4000 gal UL 2085 concrete-encase,ConVault,diesel-fuel-tanks,17.3,8,6.2,,#e4b34a,,,,
equipment,Fireguard horizontal tank 12000 gal Fireguard UL 2085,Highland Tank,diesel-fuel-tanks,26,8,9,,#e4b34a,,,,
equipment,Double-wall horizontal tank 2000 gal UL 142 horizontal,generic,diesel-fuel-tanks,11,5.3,6,,#e4b34a,,,,
equipment,Bulk horizontal tank 25000 gal UL 142 / Fireguard,Highland Tank,diesel-fuel-tanks,32,10.5,11.5,,#e4b34a,,,,
equipment,Generator day tank 150 gal day tank w/ pump set,Pryco,diesel-fuel-tanks,3.5,2.5,3.5,,#e4b34a,,,,
equipment,UPS 550 kVA 9395-550,Eaton,ups,8.9,2.8,6.3,,#e4b34a,,,,
equipment,UPS 1100 kVA 9395-1100,Eaton,ups,17.5,2.8,6.3,,#e4b34a,,,,
equipment,UPS 150 kW modular 93PM,Eaton,ups,2.6,2.9,6.3,,#e4b34a,,,,
equipment,UPS 800 kVA Liebert EXL S1,Vertiv,ups,10.8,2.9,6.6,,#e4b34a,,,,
equipment,UPS 1200 kVA Liebert EXL S1,Vertiv,ups,11.5,3.3,6.6,,#e4b34a,,,,
equipment,UPS 300 kVA modular Liebert APM,Vertiv,ups,3.9,2.8,6.5,,#e4b34a,,,,
equipment,UPS 250 kVA Liebert EXM,Vertiv,ups,2.6,2.8,6.5,,#e4b34a,,,,
equipment,UPS 1000 kVA Galaxy VX,Schneider Electric,ups,14.8,2.8,6.6,,#e4b34a,,,,
equipment,UPS 100 kW Galaxy VS,Schneider Electric,ups,1.7,2.8,6.2,,#e4b34a,,,,
equipment,UPS 750 kVA 9900D,Mitsubishi Electric,ups,9.8,3.1,6.5,,#e4b34a,,,,
equipment,Utility-scale battery unit Megapack 2 XL,Tesla,battery-bess,29,5.4,9.2,,#e4b34a,,,,
equipment,Outdoor lithium BESS cabinet ~250 kWh liquid-cooled BESS cab,generic,battery-bess,4.5,4.5,8.2,,#e4b34a,,,,
equipment,Lithium-ion UPS battery cabinet HPL,Vertiv,battery-bess,2.6,2.9,6.6,,#e4b34a,,,,
equipment,VRLA UPS battery cabinet VRLA cabinet,generic,battery-bess,2.7,2.7,6.3,,#e4b34a,,,,
equipment,Lithium UPS battery rack UPS lithium rack,Samsung SDI,battery-bess,2.3,2.9,7.5,,#1f2937,,,,
equipment,"Open battery rack, 2-step open stationary rack",C&D Technologies,battery-bess,12,3,5,,#1f2937,,,,
equipment,Floor PDU 150 kVA Liebert PPC,Vertiv,pdu-rpp,4,2.7,6.4,,#e4b34a,,,,
equipment,Floor PDU 300 kVA Liebert PPC,Vertiv,pdu-rpp,5.4,2.8,6.4,,#e4b34a,,,,
equipment,Floor PDU 300-500 kVA PDI WaveStar TFA,Eaton,pdu-rpp,5.5,3,6.5,,#e4b34a,,,,
equipment,Remote power panel (RPP) PDI WaveStar RPP,Eaton,pdu-rpp,2,2,7,,#e4b34a,,,,
equipment,Static transfer switch 600A Liebert STS2,Vertiv,pdu-rpp,3.3,2.8,6.4,,#e4b34a,,,,
equipment,Overhead track busway 250A T5 Series,Starline (Legrand),busway,10,0.4,0.4,,#1f2937,,,,
equipment,Overhead track busway 800A T5 Series,Starline (Legrand),busway,10,0.55,0.55,,#1f2937,,,,
equipment,Feeder busway 3000A Pow-R-Way III,Eaton,busway,10,0.5,1.5,,#e4b34a,,,,
equipment,Plug-in busway 2000A I-Line II,Square D,busway,10,0.5,1.2,,#e4b34a,,,,
equipment,Plug-in busway 800A Sentron busway,Siemens,busway,10,0.4,0.8,,#e4b34a,,,,
equipment,Automatic transfer switch 260A 7000 Series,ASCO,ats,2,1.6,5,,#e4b34a,,,,
equipment,Automatic transfer switch 800A 7000 Series,ASCO,ats,2.9,2,6.3,,#e4b34a,,,,
equipment,Automatic transfer switch 3000A 7000 Series,ASCO,ats,4.8,4,7.5,,#e4b34a,,,,
equipment,Bypass-isolation ATS 2000A RTS Series,Russelectric,ats,6,4,7.5,,#e4b34a,,,,
equipment,PV module 550W bifacial 144-half-cell Hi-MO 5,LONGi,solar,7.4,3.7,0.1,,#e4b34a,,,,
equipment,PV module 480W 108-cell Q.PEAK DUO XL,Qcells,solar,7.3,3.6,0.1,,#e4b34a,,,,
equipment,String inverter 62 kW Sunny Tripower CORE1,SMA,solar,2,1.9,2.4,,#e4b34a,,,,
equipment,String inverter 100 kW wall-mount 3-phase string inverter,generic,solar,3.3,1.1,2.2,,#e4b34a,,,,
equipment,Central inverter + MV transformer skid MV turnkey inverter s,generic,solar,20,8,8.5,,#e4b34a,,,,
equipment,Level 2 dual-port pedestal charger CT4000,ChargePoint,ev-charging,0.9,0.6,6.5,,#e4b34a,,,,
equipment,DC fast charger 62.5 kW Express 250,ChargePoint,ev-charging,2.6,1.2,6.6,,#e4b34a,,,,
equipment,DC fast charger 50 kW Terra 54,ABB,ev-charging,2.9,2.5,6.2,,#e4b34a,,,,
equipment,DC fast charger 180 kW Terra 184,ABB,ev-charging,3.3,2.6,6.6,,#e4b34a,,,,
equipment,Supercharger dispenser post Supercharger V3,Tesla,ev-charging,1.7,0.9,8.5,,#e4b34a,,,,
equipment,Level 2 wall-mount charger 7-11 kW wallbox,generic,ev-charging,1.2,0.5,1.5,,#e4b34a,,,,
equipment,CT cabinet 800A utility CT cabinet,generic,utility,3,1,4,,#e4b34a,,,,
equipment,Meter stack 6-gang EZ Meter-Pak (EZM),Square D,utility,1.5,0.5,6,,#e4b34a,,,,
equipment,Meter stack module 3MM metering module,Eaton,utility,1.5,0.5,6,,#e4b34a,,,,
equipment,Single meter socket 200A 200A ringless socket,Milbank,utility,1.2,0.4,1.8,,#e4b34a,,,,
equipment,Utility metering switchboard section cold-sequence metering ,generic,utility,3,3,7.5,,#e4b34a,,,,
equipment,"Packaged rooftop unit, 3 ton Precedent YSC036",Trane,packaged-rtu,6.3,3.9,2.9,,#5ad7d2,,,,
equipment,"Packaged rooftop unit, 5 ton Precedent YSC060",Trane,packaged-rtu,7.4,4.6,3.3,,#5ad7d2,,,,
